filename,top3_words,language,sentiment_label,sentiment_score,compressed_size_bytes,translation_time_s,total_time_s
input.txt,and:69;the:60;of:50,other,positive,0.9,3881,0.01,0.01161336898803711
input.txt,and:10;the:7;climate:4,other,neutral,0.5,575,0.01,0.006712436676025391
input.txt,and:10;the:7;climate:4,other,neutral,0.5,575,0.01,0.007454395294189453
input.txt,and:10;the:7;climate:4,other,neutral,0.5,575,1.6342930793762207,1.6433320045471191,631.0349930084783
input.txt,and:69;the:60;of:50,other,positive,0.9,3882,3.225311040878296,3.2439026832580566,2770.428362842805
input.txt,and:69;the:60;of:50,other,positive,0.9,3882,3.393523931503296,3.406576633453369,2638.1323442853404
input.txt,and:69;the:60;of:50,other,positive,0.9,3882,1.5670897960662842,1.5814175605773926,5682.876062612299
input.txt,and:69;the:60;of:50,other,positive,0.9,3882,2.1430788040161133,2.162205457687378,4156.404271411003
input.txt,and:69;the:60;of:50,other,positive,0.9,3882,1.2432992458343506,1.2558941841125488,7155.857646040836
input.txt,and:69;the:60;of:50,other,positive,0.9,3882,1.1003704071044922,1.1126787662506104,8076.904379404545
input.txt,the:164;and:148;of:87,other,positive,0.9,8613,8.46880316734314,8.482594013214111,2514.9146554423846
input.txt,the:164;and:148;of:87,other,positive,0.9,8613,4.750710487365723,4.769427061080933,4472.8642930887245
input.txt,and:69;the:60;of:50,other,positive,0.9,3882,1.3579118251800537,1.36966872215271,6561.4406276834015
input.txt,the:164;and:148;of:87,other,positive,0.9,8613,5.272031307220459,5.286657094955444,4035.2532076188672
input.txt,the:164;and:148;of:87,en,positive,0.9,8613,5.839335680007935,6.0202696323394775,3543.528995014463
input.txt,the:68;and:48;of:33,en,neutral,0.5,3356,2.6266374588012695,2.87042498588562,2697.8583443492157
input.txt,the:38;and:20;of:18,en,neutral,0.5,1877,0.359539270401001,0.5564641952514648,6985.175386250096
input.txt,and:72;the:42;to:35,en,positive,0.9,3895,4.377401113510132,4.484543323516846,2005.7783705266977
